User Name,Slack Integration,Most Used Page,Had Free Trial,User MRR,Weekly Logins,Company Name,Industry,Company Size,Territory,Sales Call in Trial,Zendesk Integration,Salesforce Integration,Gmail Integration,Most common referrer,Most common IP,Sales Touches to Close,Used Admin Panel,Has Issued Support Request
David Watson,Yes,/tool/storyboard,Yes,39,10,HP,Technology,>$10B,West,Yes,No,Yes,No,/google.com,138.68.240.218,6,Yes,Yes
Jack Hang,Yes,/tool/storyboard,Yes,39,10,HP,Technology,>$10B,West,No,Yes,Yes,Yes,zoom.com,72.35.40.34,4,No,Yes
Margarita Kealoha,No,/tool/storyboard,No,39,5,HP,Technology,>$10B,West,No,Yes,Yes,No,/tripadvisor.com,45.55.9.218,10,No,Yes
Stella Reynolds,No,/tool/storyboard,Yes,169,14,HP,Technology,>$10B,West,No,No,No,Yes,/facebook.com,138.197.222.35,7,Yes,Yes
Joseph Holland,Yes,/tool/storyboard,Yes,39,15,HP,Technology,>$10B,West,Yes,Yes,No,No,hotels.com,45.55.9.218,14,No,Yes
Karen Ramos,Yes,/tool/storyboard,Yes,1299,7,HP,Technology,>$10B,West,Yes,Yes,No,No,/facebook.com,138.197.222.35,13,Yes,Yes
Bernice Lambdin,No,/tool/storyboard,No,39,4,HP,Technology,>$10B,West,Yes,No,Yes,Yes,zoom.com,134.209.44.228,4,No,No
Kenneth Fulenwider,Yes,/tool/storyboard,Yes,169,12,HP,Technology,>$10B,West,No,No,No,Yes,/slack.com,192.200.200.99,15,Yes,No
Loretta Perron,No,/tool/build_query,No,169,2,HP,Technology,>$10B,West,No,Yes,No,No,hotels.com,159.203.166.41,12,No,No
Cathey Bennett,No,/tool/storyboard,No,39,5,HP,Technology,>$10B,West,Yes,Yes,Yes,Yes,/google.com,134.209.44.228,5,Yes,Yes
Heather Hall,No,/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,No,No,No,/facebook.com,162.243.107.120,11,No,Yes
Dennis Nasworthy,No,/dashboard,No,39,3,HP,Technology,>$10B,West,No,Yes,Yes,Yes,/tripadvisor.com,162.243.108.129,7,Yes,Yes
Polly Whittaker,Yes,/tool/storyboard,Yes,39,12,HP,Technology,>$10B,West,No,No,Yes,No,/slack.com,45.55.9.218,10,Yes,No
Marcus Parks,No,/tool/storyboard,Yes,39,10,HP,Technology,>$10B,West,No,No,Yes,Yes,/facebook.com,34.87.141.207,15,No,No
Houston Wash,No,/login,No,39,1,HP,Technology,>$10B,West,No,No,No,No,/quora,159.203.166.41,4,Yes,Yes
Mary Combest,No,/tool/search,No,1299,3,HP,Technology,>$10B,West,No,Yes,No,No,/mail.google.com,138.68.41.90,8,No,Yes
Johnnie Martinez,No,/dashboard,No,39,3,HP,Technology,>$10B,West,No,No,No,Yes,zoom.com,162.243.108.161,11,Yes,Yes
Julissa Sweeney,No,/tool/storyboard,No,39,3,HP,Technology,>$10B,West,Yes,Yes,No,Yes,/tripadvisor.com,159.203.166.41,14,Yes,No
Ida Hinkle,Yes,/tool/storyboard,Yes,1299,14,HP,Technology,>$10B,West,Yes,Yes,Yes,Yes,zoom.com,192.200.200.99,4,No,No
Elias Davis,No,/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,Yes,No,Yes,hotels.com,162.243.107.120,16,No,No
Kelley Taylor,No,/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,No,No,Yes,/tripadvisor.com,198.199.120.102,9,Yes,Yes
Inez Shaw,Yes,/tool/storyboard,Yes,169,7,HP,Technology,>$10B,West,Yes,Yes,No,Yes,/slack.com,162.243.107.120,14,No,Yes
Carlos Harris,Yes,/tool/storyboard,Yes,39,8,HP,Technology,>$10B,West,No,No,No,No,/mail.google.com,138.68.240.218,13,No,No
Anthony Stewart,No,/tool/storyboard,No,169,3,HP,Technology,>$10B,West,Yes,Yes,No,Yes,/tripadvisor.com,67.205.132.241,5,No,Yes
Catherine Simens,No,/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,Yes,No,Yes,zoom.com,34.87.141.207,8,No,Yes
Olivia Ryan,No,/tool/storyboard,No,169,6,HP,Technology,>$10B,West,Yes,No,No,Yes,hotels.com,162.243.108.161,12,No,Yes
Mae Jeanes,No,/tool/storyboard,No,39,6,HP,Technology,>$10B,West,No,Yes,No,Yes,/facebook.com,159.203.166.41,15,No,Yes
Benjamin Stewart,No,/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,Yes,No,Yes,/mail.google.com,165.227.215.62,4,No,Yes
Louis Gray,No,/tool/storyboard,Yes,169,7,HP,Technology,>$10B,West,No,Yes,No,Yes,/tripadvisor.com,198.199.120.102,12,No,No
David Mccutcheon,Yes,/tool/storyboard,Yes,39,13,HP,Technology,>$10B,West,Yes,No,No,No,/slack.com,138.68.41.90,4,No,No
Steven Head,No,/tool/storyboard,No,39,6,HP,Technology,>$10B,West,No,No,No,No,/slack.com,72.35.40.34,11,No,Yes
John Grosvenor,Yes,/tool/storyboard,Yes,1299,12,HP,Technology,>$10B,West,Yes,No,No,Yes,/mail.google.com,162.243.108.129,16,Yes,Yes
Melissa Johnson,No,/tool/storyboard,No,169,6,HP,Technology,>$10B,West,No,Yes,No,Yes,/facebook.com,138.68.41.90,11,Yes,Yes
Carl Williams,No,/login,No,169,4,HP,Technology,>$10B,West,No,No,No,Yes,/slack.com,134.209.44.228,6,No,Yes
Pedro Mccrae,No,/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,Yes,No,Yes,hotels.com,34.87.141.207,12,Yes,Yes
Audrey Gilman,No,/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,Yes,Yes,Yes,/facebook.com,162.243.107.120,12,Yes,Yes
Manuel Martindale,No,/tool/storyboard,Yes,39,15,HP,Technology,>$10B,West,No,Yes,No,No,hotels.com,67.205.132.241,14,Yes,Yes
Kim Brittain,No,/tool/storyboard,Yes,1299,16,HP,Technology,>$10B,West,Yes,Yes,Yes,Yes,/slack.com,159.203.166.41,13,No,No
Carolyn Casteel,No,/tool/build_query,No,169,2,HP,Technology,>$10B,West,No,Yes,No,No,/mail.google.com,45.55.9.218,12,Yes,No
Sharon Patrick,No,/tool/storyboard,No,39,3,HP,Technology,>$10B,West,No,Yes,Yes,Yes,/mail.google.com,67.205.132.241,12,No,Yes
Lisa Karge,No,/tool/build_query,No,1299,3,HP,Technology,>$10B,West,No,No,No,Yes,/slack.com,138.68.41.90,9,No,Yes
Elouise Snellen,No,/tool/storyboard,No,39,3,HP,Technology,>$10B,West,Yes,Yes,No,No,/quora,138.68.41.90,7,No,No
John Crawford,Yes,/tool/storyboard,Yes,39,13,HP,Technology,>$10B,West,No,No,Yes,Yes,/slack.com,138.68.240.218,9,Yes,Yes
Marjorie Rossi,No,/tool/storyboard,No,39,3,HP,Technology,>$10B,West,No,Yes,Yes,No,zoom.com,192.200.200.99,16,Yes,Yes
Harold Dooley,No,/home,No,39,4,HP,Technology,>$10B,West,Yes,Yes,No,No,/facebook.com,138.68.240.218,9,No,No
Shawn Beitz,No,/tool/storyboard,No,39,7,HP,Technology,>$10B,West,No,No,No,Yes,/slack.com,174.138.54.49,4,No,No
Rachael Mounts,No,/tool/storyboard,No,39,6,HP,Technology,>$10B,West,No,Yes,Yes,Yes,zoom.com,67.205.132.241,13,Yes,No
John Granthan,No,/tool/storyboard,No,39,1,HP,Technology,>$10B,West,Yes,No,Yes,Yes,/google.com,138.197.222.35,11,No,No
Charles Sanders,No,/tool/storyboard,No,39,5,HP,Technology,>$10B,West,Yes,No,Yes,Yes,/tripadvisor.com,138.68.240.218,13,Yes,Yes
Elizabeth Maze,No,/tool/storyboard,No,39,2,HP,Technology,>$10B,West,No,Yes,No,Yes,/facebook.com,45.55.9.218,5,No,No
Nina Maddox,No,/tool/storyboard,No,39,4,HP,Technology,>$10B,West,No,Yes,No,No,/google.com,191.96.42.80,9,No,Yes
William Modica,No,/tool/storyboard,No,169,4,HP,Technology,>$10B,West,Yes,Yes,No,Yes,/facebook.com,45.55.9.218,12,Yes,No
Maria Ayers,No,/login,No,169,3,HP,Technology,>$10B,West,Yes,No,No,Yes,/facebook.com,162.243.107.120,13,No,Yes
Luz Lawson,No,/tool/storyboard,No,39,7,HP,Technology,>$10B,West,No,Yes,Yes,Yes,/slack.com,192.200.200.99,13,No,No
Charles Mackey,Yes,/tool/storyboard,Yes,39,7,HP,Technology,>$10B,West,No,No,Yes,Yes,/slack.com,142.93.8.33,10,No,No
Brady Watson,No,/tool/storyboard,No,39,6,HP,Technology,>$10B,West,Yes,Yes,Yes,No,/slack.com,138.68.240.218,12,No,Yes
Princess Philbeck,Yes,/tool/storyboard,Yes,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,No,/facebook.com,174.138.54.49,15,No,No
Martin Meek,No,/tool/storyboard,Yes,1299,10,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,No,/slack.com,34.87.141.207,4,No,No
Brian Kenan,No,/tool/storyboard,No,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,No,zoom.com,45.55.9.218,12,No,Yes
Vickie Pena,No,/dashboard,Yes,169,12,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,Yes,No,/mail.google.com,162.243.108.129,14,Yes,No
Reba Schmidt,No,/home,No,169,3,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,Yes,No,Yes,/facebook.com,165.227.215.62,11,Yes,No
Joshua Brevard,Yes,/home,Yes,169,9,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,Yes,/quora,162.243.108.129,5,No,Yes
Mark Butler,No,/tool/storyboard,No,169,5,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,Yes,Yes,/slack.com,162.243.108.129,10,No,Yes
Dianne Wall,Yes,/tool/storyboard,Yes,1299,11,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,Yes,Yes,zoom.com,138.197.222.35,16,No,Yes
Brenda Ingram,No,/tool/storyboard,No,169,6,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,Yes,No,zoom.com,198.199.120.102,8,Yes,Yes
Laura Lyons,No,/tool/storyboard,No,39,3,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,Yes,No,zoom.com,138.197.222.35,6,No,No
George Hogan,Yes,/tool/storyboard,Yes,39,8,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,Yes,No,Yes,/slack.com,191.96.42.80,15,No,Yes
Donald Remmele,No,/tool/build_query,No,39,0,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,Yes,zoom.com,165.227.215.62,14,No,Yes
Daniel Barton,No,/login,Yes,39,10,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,Yes,/facebook.com,34.87.141.207,15,No,Yes
Gina Moreton,No,/tool/storyboard,No,39,7,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,No,/facebook.com,45.55.9.218,6,No,Yes
John Bordner,No,/tool/storyboard,No,169,5,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,Yes,/facebook.com,159.203.166.41,10,Yes,No
Brenda Waring,Yes,/tool/storyboard,Yes,169,8,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,Yes,No,Yes,/tripadvisor.com,162.243.108.161,14,No,No
Noe Workman,Yes,/tool/storyboard,Yes,169,15,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,Yes,Yes,/tripadvisor.com,102.129.249.120,12,No,No
Charles Hoffman,No,/tool/storyboard,Yes,39,13,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,Yes,/google.com,162.243.107.120,15,Yes,No
Beatrice Lau,No,/login,Yes,39,5,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,No,/quora,162.243.108.161,6,No,Yes
Francisco Rico,No,/login,Yes,39,9,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,Yes,/mail.google.com,102.129.249.120,6,Yes,No
Mark Smith,Yes,/tool/storyboard,Yes,169,10,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,No,/quora,159.203.166.41,16,No,No
Frank Miscione,No,/tool/storyboard,Yes,39,14,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,No,zoom.com,174.138.54.49,6,Yes,Yes
Lara Sanders,Yes,/tool/build_query,Yes,39,5,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,Yes,hotels.com,192.200.200.99,14,Yes,No
Michael Smith,No,/dashboard,No,169,2,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,Yes,hotels.com,165.227.215.62,14,No,Yes
Anna Monteleone,No,/tool/storyboard,No,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,No,/google.com,174.138.54.49,14,No,No
Harriet Johnson,No,/tool/storyboard,No,39,6,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,Yes,No,Yes,/slack.com,162.243.108.141,16,Yes,Yes
Nicole Windly,No,/tool/storyboard,No,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,No,No,zoom.com,138.68.41.90,6,No,No
Anne Wiggins,No,/tool/storyboard,No,39,5,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,No,zoom.com,142.93.8.33,9,No,No
Kathleen Velez,No,/tool/storyboard,No,1299,3,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,Yes,Yes,/facebook.com,142.93.8.33,4,Yes,Yes
Gladys Knee,No,/tool/storyboard,No,169,5,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,Yes,Yes,/slack.com,191.96.42.80,11,Yes,No
Daniel Fuller,No,/tool/storyboard,No,169,2,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,Yes,No,Yes,/facebook.com,162.243.108.129,15,No,Yes
Virginia Banks,No,/tool/storyboard,No,169,6,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,Yes,Yes,Yes,hotels.com,191.96.42.80,15,Yes,Yes
Jose Lum,No,/tool/storyboard,No,39,3,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,Yes,/slack.com,162.243.108.129,4,No,Yes
Charles Burris,No,/tool/storyboard,Yes,39,13,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,Yes,zoom.com,159.203.166.41,4,No,No
Marilyn Norris,No,/tool/storyboard,No,169,5,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,Yes,No,No,/google.com,67.205.132.241,16,No,No
Daniel Smith,Yes,/tool/search,Yes,169,9,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,Yes,/google.com,134.209.44.228,16,No,Yes
Josephine Hawkins,No,/tool/storyboard,No,169,5,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,Yes,No,/tripadvisor.com,191.96.42.80,5,Yes,Yes
Angela Fischer,No,/tool/storyboard,No,39,3,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,Yes,/facebook.com,138.68.240.218,10,Yes,No
Mark Salas,Yes,/tool/storyboard,Yes,39,11,Huron Consulting Group,Professional Services,$500M - $1B,East,No,No,No,Yes,/quora,102.129.249.120,12,Yes,Yes
Todd Collins,No,/tool/storyboard,No,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,No,Yes,Yes,No,/slack.com,67.205.132.241,5,No,No
Adrienne Pfifer,No,/tool/storyboard,No,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,Yes,No,hotels.com,102.129.249.120,14,No,No
Sarah Monteleone,No,/login,No,39,4,Huron Consulting Group,Professional Services,$500M - $1B,East,Yes,No,No,Yes,zoom.com,198.199.120.102,12,Yes,Yes
Devin Moore,No,/tool/storyboard,No,169,5,Hushmail,Technology,$100M - $500M,West,No,No,No,No,/slack.com,138.197.222.35,14,Yes,No
Alda Tidwell,No,/tool/storyboard,No,1299,3,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,No,/facebook.com,159.203.166.41,4,No,No
Shirley Knie,No,/dashboard,No,39,1,Hushmail,Technology,$100M - $500M,West,Yes,Yes,Yes,No,/facebook.com,138.68.41.90,13,No,No
Robert Jorgenson,Yes,/login,Yes,169,7,Hushmail,Technology,$100M - $500M,West,No,No,Yes,No,/slack.com,162.243.107.120,6,Yes,No
Jennifer Blair,No,/tool/storyboard,No,39,4,Hushmail,Technology,$100M - $500M,West,No,Yes,No,Yes,/mail.google.com,138.68.41.90,8,No,Yes
Edna Mccroy,Yes,/tool/storyboard,Yes,39,13,Hushmail,Technology,$100M - $500M,West,No,No,No,No,zoom.com,67.205.132.241,7,Yes,Yes
Patrice Mccoy,Yes,/tool/storyboard,Yes,169,13,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,Yes,/quora,45.55.9.218,13,No,No
Jeffrey Noel,No,/tool/storyboard,No,39,6,Hushmail,Technology,$100M - $500M,West,No,Yes,No,No,/slack.com,162.243.108.161,10,Yes,No
Steven Coleman,No,/home,No,169,2,Hushmail,Technology,$100M - $500M,West,No,Yes,No,Yes,/quora,134.209.44.228,5,No,No
Elaine Linkous,Yes,/tool/storyboard,Yes,169,12,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,No,/mail.google.com,134.209.44.228,6,Yes,No
Sheila Moody,No,/home,No,39,1,Hushmail,Technology,$100M - $500M,West,Yes,No,No,Yes,/slack.com,192.200.200.99,8,Yes,No
John Dunsford,No,/tool/storyboard,No,169,7,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,Yes,/quora,192.200.200.99,12,Yes,Yes
Frank Davis,No,/tool/search,No,39,4,Hushmail,Technology,$100M - $500M,West,No,Yes,No,No,/tripadvisor.com,134.209.44.228,9,No,No
Joanna Dauzat,Yes,/tool/storyboard,Yes,1299,5,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,No,/quora,102.129.249.120,6,No,Yes
Caroline Berry,No,/tool/build_query,No,1299,3,Hushmail,Technology,$100M - $500M,West,Yes,Yes,Yes,No,/slack.com,138.197.222.35,12,No,Yes
Paul Davis,No,/tool/storyboard,No,169,4,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,/google.com,138.68.41.90,16,No,No
Debra Wood,No,/tool/storyboard,No,39,4,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/slack.com,162.243.108.161,14,No,No
Gary Sneed,No,/tool/storyboard,No,1299,3,Hushmail,Technology,$100M - $500M,West,Yes,Yes,Yes,Yes,/tripadvisor.com,162.243.108.129,4,No,No
Juli Hill,No,/tool/build_query,No,169,1,Hushmail,Technology,$100M - $500M,West,Yes,No,No,No,zoom.com,138.68.41.90,8,Yes,Yes
Timothy Francisco,Yes,/tool/storyboard,Yes,169,11,Hushmail,Technology,$100M - $500M,West,Yes,Yes,Yes,No,/tripadvisor.com,174.138.54.49,16,No,Yes
Andrew Wallace,No,/tool/storyboard,No,169,4,Hushmail,Technology,$100M - $500M,West,No,No,No,No,/google.com,142.93.8.33,11,No,No
Betty Chase,No,/tool/storyboard,No,39,2,Hushmail,Technology,$100M - $500M,West,No,No,Yes,No,/quora,72.35.40.34,13,No,Yes
Kenneth Janssen,No,/tool/search,No,169,0,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,Yes,zoom.com,191.96.42.80,12,Yes,No
John Burdette,No,/tool/storyboard,No,169,3,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,Yes,hotels.com,34.87.141.207,5,Yes,No
James Hanks,Yes,/tool/storyboard,Yes,169,11,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,hotels.com,138.68.240.218,11,Yes,No
Melissa Ethier,No,/tool/storyboard,No,39,6,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,No,/facebook.com,162.243.108.129,16,Yes,Yes
Christina Sanches,Yes,/tool/storyboard,Yes,39,11,Hushmail,Technology,$100M - $500M,West,No,No,No,No,/mail.google.com,138.68.41.90,12,No,Yes
Edna Yost,Yes,/tool/storyboard,Yes,39,12,Hushmail,Technology,$100M - $500M,West,Yes,No,No,Yes,/google.com,67.205.132.241,12,No,No
Glenn Manora,No,/tool/storyboard,No,169,7,Hushmail,Technology,$100M - $500M,West,No,Yes,No,Yes,/mail.google.com,67.205.132.241,11,No,No
Michael Washington,No,/tool/storyboard,No,169,5,Hushmail,Technology,$100M - $500M,West,No,Yes,No,Yes,hotels.com,34.87.141.207,9,Yes,Yes
Luke George,No,/tool/storyboard,No,39,2,Hushmail,Technology,$100M - $500M,West,No,No,No,Yes,zoom.com,165.227.215.62,4,Yes,No
Linda Rodriguez,No,/tool/storyboard,No,39,6,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,Yes,/slack.com,72.35.40.34,13,No,No
Donna Morris,Yes,/tool/storyboard,Yes,39,14,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,No,/mail.google.com,138.68.41.90,15,Yes,Yes
Chris Mcmurray,No,/tool/storyboard,Yes,169,13,Hushmail,Technology,$100M - $500M,West,No,No,No,No,/quora,67.205.132.241,15,No,Yes
Michael Hudson,Yes,/tool/storyboard,Yes,39,13,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,Yes,/slack.com,138.68.41.90,9,No,Yes
James Paulsen,No,/tool/build_query,No,169,4,Hushmail,Technology,$100M - $500M,West,Yes,No,No,No,/mail.google.com,34.87.141.207,4,Yes,No
Carroll Miles,Yes,/tool/storyboard,Yes,39,16,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/facebook.com,72.35.40.34,13,No,No
Claude Murphy,No,/tool/storyboard,No,1299,6,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/tripadvisor.com,142.93.8.33,12,No,No
Danielle Giffin,No,/tool/storyboard,No,169,4,Hushmail,Technology,$100M - $500M,West,Yes,Yes,Yes,Yes,/quora,162.243.108.141,4,Yes,Yes
Catherine Taylor,No,/tool/storyboard,No,169,3,Hushmail,Technology,$100M - $500M,West,No,Yes,No,Yes,zoom.com,165.227.215.62,14,No,Yes
Stanley Young,Yes,/tool/storyboard,Yes,39,11,Hushmail,Technology,$100M - $500M,West,Yes,No,Yes,Yes,hotels.com,198.199.120.102,8,Yes,Yes
Elvin Bloxham,No,/home,No,39,1,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/tripadvisor.com,138.68.41.90,16,Yes,No
Irvin Brinkhaus,No,/tool/storyboard,No,39,2,Hushmail,Technology,$100M - $500M,West,No,No,Yes,Yes,/tripadvisor.com,162.243.107.120,7,No,Yes
Kris Halladay,No,/login,No,169,3,Hushmail,Technology,$100M - $500M,West,Yes,No,Yes,Yes,/mail.google.com,138.68.240.218,7,Yes,Yes
John Hackman,No,/tool/storyboard,No,169,5,Hushmail,Technology,$100M - $500M,West,No,Yes,No,Yes,hotels.com,138.197.222.35,5,No,Yes
Justin Paradis,No,/tool/storyboard,No,39,2,Hushmail,Technology,$100M - $500M,West,Yes,No,Yes,No,hotels.com,134.209.44.228,16,Yes,No
Ryan Wildner,No,/tool/storyboard,No,39,2,Hushmail,Technology,$100M - $500M,West,No,No,No,No,hotels.com,191.96.42.80,10,No,No
Lindsey Meeks,No,/tool/storyboard,No,39,5,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,No,/slack.com,162.243.108.161,13,No,Yes
Florence Hall,No,/tool/storyboard,No,39,7,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,No,zoom.com,192.200.200.99,7,Yes,No
Kimberly Garrett,No,/tool/storyboard,Yes,39,14,Hushmail,Technology,$100M - $500M,West,Yes,No,No,No,/mail.google.com,67.205.132.241,14,Yes,No
Solomon Russell,Yes,/tool/storyboard,Yes,169,12,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,No,zoom.com,138.68.240.218,13,Yes,Yes
Derrick Salvadore,No,/tool/build_query,Yes,39,4,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,Yes,/google.com,162.243.108.141,15,No,Yes
Jane Wagner,Yes,/tool/storyboard,Yes,39,14,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,No,/tripadvisor.com,198.199.120.102,13,Yes,Yes
Colette Lindelof,Yes,/tool/storyboard,Yes,169,9,Hushmail,Technology,$100M - $500M,West,Yes,Yes,Yes,Yes,/slack.com,162.243.108.129,11,No,No
James Snethen,No,/tool/storyboard,No,39,4,Hushmail,Technology,$100M - $500M,West,No,Yes,No,Yes,zoom.com,162.243.108.161,13,Yes,No
Ronald Nelson,Yes,/tool/build_query,Yes,39,3,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,Yes,/facebook.com,191.96.42.80,11,Yes,Yes
Isabel Rogers,No,/tool/storyboard,No,39,3,Hushmail,Technology,$100M - $500M,West,Yes,No,No,Yes,zoom.com,162.243.108.129,7,Yes,Yes
Franklin Buford,No,/tool/storyboard,No,1299,6,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,Yes,zoom.com,102.129.249.120,11,No,Yes
Ellen Wills,No,/tool/storyboard,No,169,7,Hushmail,Technology,$100M - $500M,West,Yes,Yes,No,No,hotels.com,102.129.249.120,8,Yes,Yes
Jana Perez,No,/tool/storyboard,No,169,4,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,No,hotels.com,198.199.120.102,8,Yes,Yes
Curtis Roberts,Yes,/dashboard,Yes,169,13,Hushmail,Technology,$100M - $500M,West,Yes,Yes,Yes,Yes,/slack.com,102.129.249.120,16,No,Yes
Lori Nethercutt,No,/tool/storyboard,No,169,5,Hushmail,Technology,$100M - $500M,West,No,Yes,Yes,Yes,/mail.google.com,165.227.215.62,15,No,No
